Participant,Time,Study,Instructions,Version,Word,Consistency_H,Orthography,Measure,Score,WASImRS,TOWREsweRS,TOWREpdeRS,CC2regRS,CC2irregRS,CC2nwRS,WASIvRS,BPVSRS,zTOWREsweRS,zTOWREpdeRS,zCC2regRS,zCC2irregRS,zCC2nwRS,zWASIvRS,zBPVSRS,mean_z_vocab,mean_z_read,zConsistency_H
EOF001,1,Study1&2,explicit,a,Accolade,1.914239347,absent,Sem_all,2,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,-0.41070194066160914
EOF001,1,Study1&2,explicit,a,Cataclysm,3.506007504,present,Sem_all,2,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,1.174092681120392
EOF001,1,Study1&2,explicit,a,Contrition,1.748689844,absent,Sem_all,1,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,-0.5755261714010631
EOF001,1,Study1&2,explicit,a,Debacle,2.900838647,present,Sem_all,2,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,0.5715750684731371
EOF001,1,Study1&2,explicit,a,Dormancy,1.626308892,absent,Sem_all,2,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,-0.6973709725332178
EOF001,1,Study1&2,explicit,a,Epigram,1.382233748,present,Sem_all,1,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,-0.940376823492622
EOF001,1,Study1&2,explicit,a,Foible,2.705198683,present,Sem_all,2,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,0.3767922030229492
EOF001,1,Study1&2,explicit,a,Fracas,3.144334493,absent,Sem_all,1,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,0.8140041593366871
EOF001,1,Study1&2,explicit,a,Lassitude,0.904820246,present,Sem_all,2,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,-1.4156987772636265
EOF001,1,Study1&2,explicit,a,Luminary,1.098593129,absent,Sem_all,1,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,-1.2227748131328418
EOF001,1,Study1&2,explicit,a,Nonentity,3.968139062,absent,Sem_all,2,15,62,33,39,27,30,26,126,-1.4083537480304498,-0.8868291429636551,0.7892663723272265,0.4779536220996507,-0.32607190356940613,-0.6262992636697284,-0.34911722677602697,-0.4877082452228777,-0.27080696002732674,1.6341996410777129
