ResponseId,AGE,GENDER,EDUCATION,ETHNICITY,NATIVE.LANGUAGE,OTHER.LANGUAGE,ENGLISH.PROFICIENCY,SHIPLEY,HLVA,FACTOR3,rating,response,RDFKGL,study,text.id,text.question.id
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,8,1,10.608,cs,studyone.TEXT.105,studyone.TEXT.105.CQ.1
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,8,1,10.608,cs,studyone.TEXT.105,studyone.TEXT.105.CQ.2
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,8,1,10.608,cs,studyone.TEXT.105,studyone.TEXT.105.CQ.3
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,8,1,10.608,cs,studyone.TEXT.105,studyone.TEXT.105.CQ.4
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,7,1,8.116,cs,studyone.TEXT.94,studyone.TEXT.94.CQ.1
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,7,1,8.116,cs,studyone.TEXT.94,studyone.TEXT.94.CQ.2
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,7,1,8.116,cs,studyone.TEXT.94,studyone.TEXT.94.CQ.3
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,7,0,8.116,cs,studyone.TEXT.94,studyone.TEXT.94.CQ.4
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,7,1,13.278,cs,studyone.TEXT.28,studyone.TEXT.28.CQ.1
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,7,1,13.278,cs,studyone.TEXT.28,studyone.TEXT.28.CQ.2
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,7,1,13.278,cs,studyone.TEXT.28,studyone.TEXT.28.CQ.3
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,7,1,13.278,cs,studyone.TEXT.28,studyone.TEXT.28.CQ.4
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,6,1,9.328,cs,studyone.TEXT.55,studyone.TEXT.55.CQ.1
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,6,1,9.328,cs,studyone.TEXT.55,studyone.TEXT.55.CQ.2
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,6,1,9.328,cs,studyone.TEXT.55,studyone.TEXT.55.CQ.3
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,6,1,9.328,cs,studyone.TEXT.55,studyone.TEXT.55.CQ.4
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,8,1,8.28,cs,studyone.TEXT.76,studyone.TEXT.76.CQ.1
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,8,1,8.28,cs,studyone.TEXT.76,studyone.TEXT.76.CQ.2
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,8,1,8.28,cs,studyone.TEXT.76,studyone.TEXT.76.CQ.3
R_sKW4OJnOlidPxrH,20,Female,Further,Asian,English,NA,NA,26,8,59,8,1,8.28,cs,studyone.TEXT.76,studyone.TEXT.76.CQ.4
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,4,1,10.608,cs,studyone.TEXT.105,studyone.TEXT.105.CQ.1
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,4,1,10.608,cs,studyone.TEXT.105,studyone.TEXT.105.CQ.2
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,4,1,10.608,cs,studyone.TEXT.105,studyone.TEXT.105.CQ.3
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,4,0,10.608,cs,studyone.TEXT.105,studyone.TEXT.105.CQ.4
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,5,1,8.116,cs,studyone.TEXT.94,studyone.TEXT.94.CQ.1
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,5,1,8.116,cs,studyone.TEXT.94,studyone.TEXT.94.CQ.2
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,5,0,8.116,cs,studyone.TEXT.94,studyone.TEXT.94.CQ.3
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,5,0,8.116,cs,studyone.TEXT.94,studyone.TEXT.94.CQ.4
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,5,1,13.278,cs,studyone.TEXT.28,studyone.TEXT.28.CQ.1
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,5,1,13.278,cs,studyone.TEXT.28,studyone.TEXT.28.CQ.2
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,5,1,13.278,cs,studyone.TEXT.28,studyone.TEXT.28.CQ.3
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,5,1,13.278,cs,studyone.TEXT.28,studyone.TEXT.28.CQ.4
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,4,1,9.328,cs,studyone.TEXT.55,studyone.TEXT.55.CQ.1
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,4,1,9.328,cs,studyone.TEXT.55,studyone.TEXT.55.CQ.2
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,4,0,9.328,cs,studyone.TEXT.55,studyone.TEXT.55.CQ.3
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,4,1,9.328,cs,studyone.TEXT.55,studyone.TEXT.55.CQ.4
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,5,0,8.28,cs,studyone.TEXT.76,studyone.TEXT.76.CQ.1
R_27paPJzIutLoqk8,21,Female,Higher,Asian,Other,Catonese,3,26,6,51,5,1,8.28,cs,studyone.TEXT.76,studyone.TEXT.76.CQ.2
